"Date created","Year","MARYLAND","Allegany County","Anne Arundel County","Baltimore City","Baltimore County","Calvert County","Caroline County","Carroll County","Cecil County","Charles County","Dorchester County","Frederick County","Garrett County","Harford County","Howard County","Kent County","Montgomery County","Prince George's County","Queen Anne's County","Somerset County","St. Mary's County","Talbot County","Washington County","Wicomico County","Worcester County"
"09/16/2025","2014","73,394","47,373","71,733","79,429","67,744","57,961","50,033","52,679","57,655","56,347","49,511","64,251","42,892","63,529","82,249","49,745","89,457","70,418","47,518","53,727","83,903","51,245","51,732","51,979","41,370"
"09/16/2025","2015","75,672","48,720","73,733","82,341","69,277","62,760","52,824","54,672","59,558","56,971","50,732","65,124","44,006","66,340","84,693","49,706","92,947","72,323","48,662","55,985","84,809","52,820","53,252","54,170","42,367"
"09/16/2025","2016","75,945","48,652","74,052","82,617","69,457","68,250","52,628","54,571","59,978","58,948","50,582","64,563","43,155","66,105","84,626","50,465","93,717","72,254","49,163","55,427","84,579","52,524","53,073","55,072","42,642"
"09/16/2025","2017","76,276","48,912","74,172","83,202","70,032","69,595","52,343","55,573","60,517","58,609","51,218","63,938","43,565","65,752","84,661","50,807","93,874","72,548","50,676","57,360","84,669","53,050","53,529","55,855","42,316"
"09/16/2025","2018","76,391","48,770","73,995","82,128","70,652","63,404","52,220","54,225","60,775","57,814","50,005","63,843","44,279","65,506","85,313","51,749","94,504","72,729","51,126","54,851","84,231","53,765","54,417","54,449","42,942"
"09/16/2025","2019","77,271","49,491","75,166","84,112","70,810","61,015","53,464","54,985","61,848","57,963","50,664","64,995","44,319","67,286","86,887","51,132","94,527","73,545","50,639","58,785","84,938","53,336","54,848","54,763","43,339"
"09/16/2025","2020","83,484","52,880","82,200","88,744","76,813","65,636","57,836","59,486","65,325","62,464","54,802","70,453","46,644","72,773","96,409","54,693","102,995","78,389","55,359","63,539","92,360","56,434","58,899","58,684","47,350"
"09/16/2025","2021","82,990","51,960","81,574","87,367","75,785","63,887","58,647","57,986","58,860","62,056","54,033","69,889","46,138","71,259","95,053","53,222","104,876","77,236","59,744","62,041","88,095","56,346","58,993","57,687","47,037"
"09/16/2025","2022","78,962","49,405","78,107","83,114","72,155","62,349","55,230","56,620","60,734","60,125","52,797","68,291","45,530","68,257","87,911","52,468","96,360","73,811","55,714","58,075","84,769","55,201","56,305","55,760","45,801"
"09/16/2025","2023","78,295","50,432","77,235","82,181","70,597","64,266","55,594","57,117","62,416","60,764","51,769","68,914","46,463","68,917","87,389","52,916","94,757","73,627","56,127","57,746","84,528","56,001","56,903","56,047","45,601"
"09/16/2025","2024","78,992","51,775","79,558","82,986","71,108","61,182","53,765","57,437","63,529","60,363","52,498","69,833","48,451","68,546","86,891","52,871","94,635","73,499","56,355","58,206","85,403","56,567","58,240","56,624","45,796"
